ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,GEO_ID2,x,y,GEO_ID,FSF_Buildi,CountModEx,PcModExt,Fath_Build,year500,Per500Fath,Per100Fath,TOTPOP,TOTHOU,POVERT,UNEMP,FEMHH,DISABL,FORBORN,LIMENG,HISPAN,BLACK,ASIAN,INDIGE,OTHTWO,AGE65,AGE19,MHSAGE,MHSVAL,NOHSD,EXTRAC,AGREXT,RENTER,MOBHOM,NOAUTO,UNINSU,avgRainfal,ChangeDev,INTENS,IMPERV,VACAT
76676,76676,B5,G6350,S,60935417,609908,31.8763848,-96.9590312,ZCTA5 76676,-96.95842,31.8717,860Z200US76676,469,40,0.085287846,311,3,0.01,0.003,260,125,0.034615385,0.015957447,0.038461538,0.169230769,0.057692308,0,0.176923077,0,0.003846154,0,0.076923077,0.230769231,0.288461538,65.34,159343.4343,0.115384615,0,0.018691589,0.048076923,0.038461538,0.057692308,0.026923077,925.3723694,0.3,15.59166673,1.037890088,0.333333333
75105,75105,B5,G6350,S,102604652,1427149,32.2671257,-96.3679882,ZCTA5 75105,-96.36685,32.26719,860Z200US75105,369,101,0.273712737,300,30,0.1,0.053,207,60,0.009661836,0.021126761,0,0.014492754,0.130434783,0,0.531400966,0.217391304,0,0,0,0.062801932,0.483091787,59.75,148529.4118,0.0625,0,0.574468085,0.081081081,0.081081081,0,0.169082126,994.7002901,0.128,15.49901959,0.651680047,0
78004,78004,B5,G6350,S,29475294,0,29.8576793,-98.5377023,ZCTA5 78004,-98.5377,29.85768,860Z200US78004,413,40,0.0968523,437,14,0.032,0.023,391,177,0.030690537,0,0,0.306905371,0,0,0.066496164,0,0,0,0.066496164,0.414322251,0.071611253,33.86723164,534477.1242,0,0,0,0.13559322,0,0,0,871.3316806,0.187,14.97666664,0.823786126,0
79606,79606,B5,G6350,S,180129385,449181,32.3627667,-99.8173342,ZCTA5 79606,-99.83141,32.35474,860Z200US79606,9848,1739,0.176584078,10326,820,0.079,0.04,26810,12200,0.065736002,0.016268308,0.037069726,0.122607913,0.066355837,0.00157404,0.182133532,0.048825065,0.037001119,0.001864976,0.097873928,0.146810891,0.264789258,33.27713115,162157.673,0.044390073,0.014672948,0.018225346,0.455339806,0.037952339,0.040511915,0.102531992,639.2860255,1.905,14.71284921,6.255396562,0
78566,78566,B5,G6350,S,359964373,125905952,26.1371848,-97.3885672,ZCTA5 78566,-97.38852,26.13974,860Z200US78566,12735,6817,0.535296427,7309,1499,0.205,0.131,24551,8032,0.267238913,0.043885105,0.097634843,0.091309131,0.227852226,0.000667616,0.895930919,0.015437253,0,0.006191194,0.288134903,0.094700827,0.391878131,28.70169323,139837.6428,0.314636872,0.010286473,0.033624599,0.280501875,0.102394001,0.062878569,0.330358962,686.4597365,0.419,13.71837272,1.985197164,0.279599271
76310,76310,B5,G6350,S,441031156,6800755,33.8051886,-98.5284791,ZCTA5 76310,-98.51171,33.81115,860Z200US76310,8770,1376,0.156898518,9365,708,0.076,0.047,19279,8312,0.063991662,0.020806851,0.052701624,0.139626611,0.052751699,0.000927644,0.160070543,0.045593651,0.038435604,0.00601691,0.099175268,0.17314176,0.272783858,38.32495188,139606.0389,0.078675577,0.01552039,0.02465003,0.255123769,0.019031142,0.025286133,0.093189587,748.3154948,0.577,15.16238738,2.897616732,0.126566416
77701,77701,B5,G6350,S,17762854,663650,30.0730533,-94.105486,ZCTA5 77701,-94.1058,30.07322,860Z200US77701,9133,5617,0.615022446,6458,916,0.142,0.061,12930,5956,0.246931801,0.03543507,0.122125813,0.178532735,0.204717711,0.000743126,0.389713844,0.468986852,0.026140758,0,0.192420727,0.152358855,0.279505027,57.99798522,66981.53714,0.29220629,0.005638732,0.017110636,0.494793926,0.019956616,0.154013015,0.334623123,1488.269898,1.906,16.22631605,60.10775546,0.022288262
77477,77477,B5,G6350,S,26432178,132766,29.6242744,-95.5680082,ZCTA5 77477,-95.56717,29.62621,860Z200US77477,9273,6043,0.651676911,9600,1847,0.192,0.087,33844,13782,0.129374684,0.04283178,0.090194553,0.095733365,0.330368751,0.003337076,0.250059095,0.272751448,0.244149628,0.00177284,0.145106961,0.107286373,0.244504196,32.89450007,138209.0909,0.125464643,0.032946686,0.033600174,0.571984436,0.058054475,0.049649805,0.177431746,1259.670831,11.113,16.21199997,61.32439479,0
77074,77074,B5,G6350,S,14245828,59812,29.6879469,-95.5157251,ZCTA5 77074,-95.51635,29.68818,860Z200US77074,6231,4775,0.766329642,6769,2739,0.405,0.16,39088,15147,0.266610152,0.037797015,0.092883085,0.067180929,0.517089644,0.035134156,0.581354892,0.15500921,0.095425706,0.004170078,0.263073066,0.093174376,0.326826648,50.09945864,125202.828,0.375431361,0.000960452,0.008135593,0.666640909,0.000695464,0.116219767,0.344702149,1277.361804,1.904,16.92499987,69.48090114,0.010426111
77484,77484,B5,G6350,S,391107256,1486642,30.0856302,-95.9271901,ZCTA5 77484,-95.92811,30.07924,860Z200US77484,7401,1795,0.242534793,8270,552,0.067,0.039,12914,5043,0.115754381,0.04771353,0.044871795,0.108621492,0.129626762,0.006298053,0.289221,0.108951525,0.00332972,0.004181508,0.180966393,0.128929844,0.225491714,31.99038271,264617.0956,0.125917768,0.020221402,0.041771218,0.304376658,0.272767462,0.036693192,0.212978756,1117.040301,0.995,17.28545921,2.191350992,0.250481696
77381,77381,B5,G6350,S,32824310,417452,30.1771261,-95.5024891,ZCTA5 77381,-95.50266,30.17792,860Z200US77381,13261,1736,0.130910188,11902,619,0.052,0.024,36080,13884,0.062716795,0.022365771,0.043002753,0.066257326,0.156929047,0,0.139329268,0.021701774,0.034894678,0.001829268,0.086363636,0.179490022,0.260698448,33.33074042,383272.5464,0.025034937,0.072546584,0.072546584,0.214641768,0.005951938,0.042035563,0.078202623,1227.709145,4.617,16.83749986,41.82357081,0
77550,77550,B5,G6350,S,19582571,3468294,29.3078526,-94.7693339,ZCTA5 77550,-94.77673,29.3101,860Z200US77550,10234,10164,0.993160055,10362,1600,0.154,0.069,22421,15318,0.237940503,0.056604737,0.051462523,0.189140435,0.120690424,0.001881822,0.289995986,0.211453548,0.031755943,0.001650239,0.125685741,0.201552116,0.169350163,67.14473169,227827.3162,0.145592929,0.006315185,0.007080662,0.579707495,0.008592322,0.160877514,0.182420853,1116.910658,1.13,17.5,43.26866604,0.281407035
77551,77551,B5,G6350,S,10239743,2636011,29.2794618,-94.833527,ZCTA5 77551,-94.83519,29.27899,860Z200US77551,6445,6372,0.98867339,7253,1040,0.143,0.083,23686,10876,0.16428005,0.027039437,0.082483085,0.167295246,0.158912438,0.001152023,0.37870472,0.151988516,0.01832306,0.008063835,0.14050494,0.167567339,0.222874272,51.7312431,219141.5181,0.161188707,0.009610855,0.013568265,0.530233058,0.003436795,0.08581248,0.215719141,1125.46644,3.51,17.24999976,57.64998952,0.332268371
77354,77354,B5,G6350,S,192295931,1530820,30.2078526,-95.6429714,ZCTA5 77354,-95.65001,30.21111,860Z200US77354,19568,2464,0.125919869,16782,610,0.036,0.023,38505,14293,0.091306611,0.033944891,0.035577449,0.101701078,0.146240748,0,0.240410336,0.051421893,0.026619919,0.000960914,0.168705363,0.130788209,0.287235424,21.89746729,304135.9843,0.076068808,0.066383074,0.072484048,0.203612479,0.148252404,0.012667136,0.139046877,1205.670005,4.395,17.82193878,10.63530663,0.222739362
77417,77417,B5,G6350,S,141340145,411187,29.4609557,-95.9560068,ZCTA5 77417,-95.96209,29.46635,860Z200US77417,2114,1074,0.508041627,1524,356,0.234,0.1,2892,856,0.276625173,0.054901961,0.2,0.083679115,0.043568465,0,0.678769018,0.103388658,0,0,0.388658368,0.123789765,0.395919779,46.68341121,116615.5419,0.311242604,0.002229654,0.036789298,0.373076923,0.285897436,0.033333333,0.366528354,1167.468221,0.743,17.46834534,2.085574774,0
77515,77515,B5,G6350,S,529712880,22500049,29.1734391,-95.4515451,ZCTA5 77515,-95.44954,29.17605,860Z200US77515,21618,14847,0.686788787,14646,3891,0.266,0.166,33491,12864,0.114726701,0.021829295,0.03380476,0.148935473,0.091337971,0,0.285181093,0.094443283,0.022095488,0.008539608,0.119524648,0.146785704,0.22612045,41.696051,141412.4709,0.126002339,0.008030726,0.011801676,0.296050362,0.116333218,0.040186271,0.162070095,1371.111241,0.739,16.96211299,2.951488414,0.055205047
77422,77422,B5,G6350,S,443294059,28405178,28.9695499,-95.5821814,ZCTA5 77422,-95.57271,28.96495,860Z200US77422,11329,7617,0.672345309,8259,1894,0.229,0.115,14042,6415,0.143731847,0.040896876,0.039959637,0.1678935,0.064022219,0.00044323,0.182666287,0.100697906,0.003560746,0.002492522,0.110454351,0.210297678,0.215211508,39.09049104,168985.4049,0.151089588,0.005616764,0.015554115,0.142684157,0.205650858,0.052270434,0.176194205,1265.778296,0.247,19.27505288,1.222089715,0.228082192
77566,77566,B5,G6350,S,61309699,11078211,29.0527388,-95.474351,ZCTA5 77566,-95.47508,29.04971,860Z200US77566,11810,10085,0.853937341,10624,4672,0.44,0.061,30327,12220,0.074189485,0.036647409,0.036210713,0.09236563,0.076664358,0,0.293302997,0.046888911,0.025192073,0.001483826,0.114056781,0.131598905,0.282091865,40.01309329,160258.6674,0.060885701,0.005723906,0.009225589,0.346259407,0,0.027268703,0.138251131,1330.453091,3.185,17.45200005,15.39508645,0.147027027
77591,77591,B5,G6350,S,26730206,685264,29.399363,-94.9991149,ZCTA5 77591,-95.00083,29.39974,860Z200US77591,6300,5973,0.948095238,5200,620,0.119,0.033,14961,6483,0.119268559,0.03940501,0.103217865,0.147548819,0.063966312,0,0.199852951,0.479045518,0.019517412,0.002807299,0.111556714,0.134482989,0.283670878,34.22790375,158023.1388,0.105460218,0.009096332,0.021622428,0.475646211,0.013363812,0.069280816,0.133346989,1354.943601,7.99,16.57407386,26.14943019,0.055276382
77539,77539,B5,G6350,S,125381112,8453698,29.4529973,-95.0284698,ZCTA5 77539,-95.02707,29.45581,860Z200US77539,21731,21365,0.983157701,19212,5649,0.294,0.069,45901,18830,0.114573867,0.022433157,0.042745121,0.119172133,0.119147731,0,0.32977495,0.1107819,0.029694342,0.000806083,0.149887802,0.121391691,0.27517919,34.1125863,144959.8972,0.128802675,0.006107546,0.011197168,0.242851247,0.122693237,0.033311715,0.146272824,1375.345435,5.689,16.49600022,15.27605084,0.084537186
77523,77523,B5,G6350,S,220630364,27854349,29.7663032,-94.8657594,ZCTA5 77523,-94.8634,29.77526,860Z200US77523,13080,7373,0.563685015,12983,776,0.06,0.031,26370,9102,0.121156704,0.056552869,0.055997194,0.072317027,0.076185059,0,0.24455821,0.08991278,0.007925673,0.001061813,0.112627986,0.07963595,0.309328783,22.22621402,264462.4573,0.067831826,0.014332093,0.015678201,0.177928455,0.117605798,0.036591069,0.12358741,1415.08904,8.782,16.50945943,14.75215851,0.439781022
76649,76649,B5,G6350,S,328553529,3335153,32.0015893,-97.8826975,ZCTA5 76649,-97.87815,32.00132,860Z200US76649,1141,296,0.25942156,1199,66,0.055,0.036,596,375,0.109060403,0.011976048,0.028985507,0.145973154,0.015100671,0,0.132550336,0.001677852,0,0,0.05033557,0.260067114,0.197986577,63.74,171288.2096,0.064794816,0.053061224,0.081632653,0.170289855,0.097826087,0.003623188,0.161073826,857.6491999,0.083,15.41951218,0.52489824,0.747474747
78935,78935,B5,G6350,S,163460870,3967363,29.6954934,-96.4242077,ZCTA5 78935,-96.43007,29.68795,860Z200US78935,1057,214,0.202459792,1040,44,0.042,0.026,753,516,0.100929615,0.02020202,0,0.08499336,0.144754316,0,0.229747676,0.03187251,0,0.054448871,0.049136786,0.385126162,0.124833997,45.86434109,216623.7113,0.009104704,0,0.131284916,0,0.451030928,0,0.126162019,1068.77986,0.129,15.44817078,1.022290905,0.546875
79227,79227,B5,G6350,S,2014501073,16782628,33.8716032,-99.7473064,ZCTA5 79227,-99.7489,33.87701,860Z200US79227,5421,805,0.148496587,1997,96,0.048,0.031,1131,765,0.1184573,0.053608247,0.014141414,0.24,0.034482759,0,0.207780725,0.000884173,0.00795756,0.007073386,0.236074271,0.34305924,0.196286472,67.3627451,57210.24259,0.238927739,0.022088353,0.259036145,0.250505051,0.032323232,0.101010101,0.161818182,647.6262835,0.077,15.68095711,0.311259754,0.296296296
